City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Wewak,PG,2022-03-29 17:21:25,-3.5534,143.6268,78.06,87,99,9.57
59,Pokaran,IN,2022-03-29 17:21:25,26.9167,71.9167,87.51,10,0,8.59
60,Torbay,CA,2022-03-29 17:21:25,47.6666,-52.7314,41.76,84,100,5.75
61,Havoysund,NO,2022-03-29 17:21:25,70.9963,24.6622,30.43,85,100,32.08
62,Bathsheba,BB,2022-03-29 17:21:26,13.2167,-59.5167,84.81,58,40,21.85
63,Xining,CN,2022-03-29 17:21:26,36.6167,101.7667,37.22,44,97,3.51
64,Varna,BG,2022-03-29 17:18:55,43.2167,27.9167,62.74,47,95,3.44
65,Mountain Home,US,2022-03-29 17:18:19,43.133,-115.6912,54.88,100,0,32.21
66,Saskylakh,RU,2022-03-29 17:14:45,71.9167,114.0833,-28.39,100,95,3.91
67,Ponta Do Sol,PT,2022-03-29 17:21:26,32.6667,-17.1,69.71,66,3,4.76
68,Nikolskoye,RU,2022-03-29 17:19:45,59.7035,30.7861,24.8,84,98,6.53
69,Mar Del Plata,AR,2022-03-29 17:17:14,-38.0023,-57.5575,66.87,74,75,7.0
70,Hofn,IS,2022-03-29 17:21:27,64.2539,-15.2082,32.94,58,24,7.94
71,Yellowknife,CA,2022-03-29 17:21:01,62.456,-114.3525,14.41,93,75,6.91
72,Ulaanbaatar,MN,2022-03-29 17:21:27,47.9077,106.8832,23.13,50,75,2.24
73,Rawson,AR,2022-03-29 17:21:28,-43.3002,-65.1023,56.75,34,60,34.99
74,Ritchie,ZA,2022-03-29 17:21:28,-29.038,24.6028,70.81,35,6,9.6
75,Tabou,CI,2022-03-29 17:21:28,4.423,-7.3528,83.77,75,36,10.42
76,Miyoshi,JP,2022-03-29 17:21:29,35.0833,137.0667,55.85,76,96,1.59
77,Avarua,CK,2022-03-29 17:13:32,-21.2078,-159.775,75.25,100,20,2.3
